antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'02:00:00'}),frozenset({'channel_14'}),1.0,0.22580645161290322,0.22580645161290322,0.22580645161290322,1.0,0.0,1.0
frozenset({'02:00:00'}),frozenset({'channel_17'}),1.0,0.1693548387096774,0.1693548387096774,0.1693548387096774,1.0,0.0,1.0
frozenset({'02:00:00'}),frozenset({'channel_19'}),1.0,0.5161290322580645,0.5161290322580645,0.5161290322580645,1.0,0.0,1.0
frozenset({'02:00:00'}),frozenset({'channel_23'}),1.0,0.8387096774193549,0.8387096774193549,0.8387096774193549,1.0,0.0,1.0
frozenset({'02:00:00'}),frozenset({'channel_3'}),1.0,0.5161290322580645,0.5161290322580645,0.5161290322580645,1.0,0.0,1.0
frozenset({'02:00:00'}),frozenset({'channel_9'}),1.0,0.8709677419354839,0.8709677419354839,0.8709677419354839,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_14', 'channel_17'})",1.0,0.07258064516129033,0.07258064516129033,0.07258064516129033,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_14'})",1.0,0.10483870967741936,0.10483870967741936,0.10483870967741936,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_23', 'channel_14'})",1.0,0.20161290322580644,0.20161290322580644,0.20161290322580644,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_14', 'channel_3'})",1.0,0.18548387096774194,0.18548387096774194,0.18548387096774194,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_9', 'channel_14'})",1.0,0.22580645161290322,0.22580645161290322,0.22580645161290322,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_17'})",1.0,0.07258064516129033,0.07258064516129033,0.07258064516129033,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_23', 'channel_17'})",1.0,0.14516129032258066,0.14516129032258066,0.14516129032258066,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_17', 'channel_3'})",1.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_9', 'channel_17'})",1.0,0.1693548387096774,0.1693548387096774,0.1693548387096774,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_23'})",1.0,0.4596774193548387,0.4596774193548387,0.4596774193548387,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_3'})",1.0,0.2903225806451613,0.2903225806451613,0.2903225806451613,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_9'})",1.0,0.4596774193548387,0.4596774193548387,0.4596774193548387,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_23', 'channel_3'})",1.0,0.4435483870967742,0.4435483870967742,0.4435483870967742,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_23', 'channel_9'})",1.0,0.7580645161290323,0.7580645161290323,0.7580645161290323,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_9', 'channel_3'})",1.0,0.43548387096774194,0.43548387096774194,0.43548387096774194,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_23', 'channel_14', 'channel_17'})",1.0,0.056451612903225805,0.056451612903225805,0.056451612903225805,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_17', 'channel_14', 'channel_3'})",1.0,0.056451612903225805,0.056451612903225805,0.056451612903225805,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_9', 'channel_14', 'channel_17'})",1.0,0.07258064516129033,0.07258064516129033,0.07258064516129033,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_23', 'channel_14'})",1.0,0.10483870967741936,0.10483870967741936,0.10483870967741936,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_14', 'channel_3'})",1.0,0.0967741935483871,0.0967741935483871,0.0967741935483871,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_9', 'channel_14'})",1.0,0.10483870967741936,0.10483870967741936,0.10483870967741936,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_23', 'channel_14', 'channel_3'})",1.0,0.16129032258064516,0.16129032258064516,0.16129032258064516,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_23', 'channel_9', 'channel_14'})",1.0,0.20161290322580644,0.20161290322580644,0.20161290322580644,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_9', 'channel_14', 'channel_3'})",1.0,0.18548387096774194,0.18548387096774194,0.18548387096774194,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_23', 'channel_17'})",1.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_17', 'channel_3'})",1.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,1.0,0.0,1.0
frozenset({'02:00:00'}),"frozenset({'channel_19', 'channel_9', 'channel_17'})",1.0,0.07258064516129033,0.07258064516129033,0.07258064516129033,1.0,0.0,1.0
